Rating,Feedback
2,Poor poor poor not recommended poor disappointing unpleasant poor.
4,Good satisfactory nice worthwhile enjoyable good nice.
2,Disappointing poor not recommended disappointing.
4,Satisfactory enjoyable enjoyable enjoyable enjoyable enjoyable.
1,Awful worst regret.
2,Poor poor disappointing poor disappointing unpleasant unpleasant.
2,Unpleasant poor disappointing poor unpleasant not recommended not recommended disappointing.
1,Horrible terrible regret.
5,Perfect best amazing amazing outstanding best.
5,Excellent outstanding excellent excellent excellent.
1,Horrible horrible awful unacceptable regret horrible terrible.
3,Okay okay decent average neutral.
5,Excellent best excellent amazing excellent amazing outstanding.
4,Good worthwhile satisfactory good good satisfactory.
4,Enjoyable good enjoyable good.
1,Regret horrible regret awful worst worst.
3,Decent neutral okay not bad neutral.
4,Worthwhile enjoyable good.
3,Okay not bad neutral decent.
1,Unacceptable awful regret horrible horrible.
3,Neutral neutral neutral not bad average.
4,Nice nice worthwhile nice worthwhile nice.
3,Average okay average neutral neutral decent neutral.
4,Satisfactory worthwhile enjoyable.
5,Outstanding excellent great great outstanding excellent outstanding.
3,Decent decent decent not bad decent decent neutral.
4,Enjoyable nice good enjoyable enjoyable worthwhile.
4,Good satisfactory good enjoyable nice enjoyable good.
5,Great excellent excellent.
4,Nice worthwhile enjoyable enjoyable satisfactory worthwhile enjoyable nice.
5,Great perfect excellent great great.
2,Not Recommended unpleasant poor not recommended unpleasant.
1,Awful awful awful unacceptable terrible.
3,Average average decent not bad average.
2,Not Recommended disappointing poor.
1,Worst regret regret regret terrible.
5,Best great amazing excellent excellent.
2,Poor unpleasant unpleasant poor not recommended.
4,Satisfactory nice nice worthwhile.
5,Excellent perfect amazing best best excellent.
5,Amazing best best perfect best excellent outstanding amazing.
1,Awful worst horrible horrible horrible horrible.
1,Worst unacceptable terrible regret worst worst.
2,Disappointing unpleasant unpleasant disappointing.
5,Outstanding perfect perfect.
1,Horrible horrible worst unacceptable terrible.
2,Poor disappointing unpleasant not recommended unpleasant unpleasant.
2,Poor poor not recommended unpleasant disappointing.
4,Worthwhile worthwhile worthwhile.
3,Decent average not bad not bad okay okay average.
3,Okay okay neutral neutral average neutral.
1,Regret unacceptable worst terrible worst.
3,Average not bad average.
2,Not Recommended not recommended disappointing unpleasant unpleasant poor.
1,Unacceptable regret horrible unacceptable horrible.
5,Outstanding perfect outstanding best best great best.
2,Disappointing poor unpleasant disappointing not recommended.
1,Regret awful terrible awful horrible.
5,Excellent best excellent amazing.
1,Terrible regret regret terrible worst regret awful.
1,Terrible horrible horrible worst horrible.
3,Okay average average okay.
5,Amazing outstanding outstanding.
4,Nice nice nice enjoyable.
4,Satisfactory satisfactory good satisfactory worthwhile satisfactory.
4,Enjoyable good enjoyable.
3,Average decent okay okay.
2,Disappointing poor poor disappointing disappointing disappointing disappointing disappointing.
1,Terrible unacceptable worst regret worst terrible.
1,Awful unacceptable worst worst awful terrible.
4,Worthwhile satisfactory good satisfactory worthwhile enjoyable.
4,Satisfactory nice worthwhile nice satisfactory nice worthwhile.
2,Not Recommended unpleasant unpleasant disappointing disappointing not recommended not recommended.
2,Unpleasant poor not recommended poor disappointing.
4,Good good nice good.
4,Good nice nice satisfactory enjoyable.
1,Worst unacceptable awful awful regret.
2,Disappointing unpleasant poor poor not recommended not recommended disappointing not recommended.
5,Amazing excellent perfect excellent outstanding amazing amazing.
4,Enjoyable enjoyable nice satisfactory worthwhile nice.
3,Neutral okay decent decent okay decent decent.
3,Decent neutral okay decent neutral decent.
1,Worst unacceptable horrible worst.
2,Poor disappointing poor unpleasant unpleasant poor poor.
2,Unpleasant poor disappointing poor.
2,Disappointing poor unpleasant not recommended unpleasant not recommended.
5,Perfect best excellent best excellent best outstanding best.
4,Worthwhile enjoyable nice nice enjoyable enjoyable.
5,Best great outstanding great perfect.
1,Regret horrible awful regret worst unacceptable worst.
3,Average decent decent neutral decent average neutral.
3,Decent okay not bad neutral.
3,Decent not bad neutral decent average.
2,Disappointing not recommended poor disappointing poor poor.
5,Best perfect perfect outstanding outstanding best outstanding.
5,Perfect excellent perfect best best best.
4,Worthwhile satisfactory enjoyable good.
1,Worst regret horrible regret regret.
3,Neutral not bad not bad not bad decent average.
2,Unpleasant unpleasant disappointing not recommended poor poor disappointing.
4,Nice nice worthwhile nice satisfactory worthwhile.
1,Awful horrible awful unacceptable regret.
4,Satisfactory enjoyable satisfactory good satisfactory worthwhile good enjoyable.
5,Best excellent great outstanding amazing.
1,Unacceptable awful regret horrible terrible regret worst.
4,Good enjoyable enjoyable good.
4,Nice good enjoyable good worthwhile enjoyable.
1,Unacceptable terrible regret worst unacceptable awful.
2,Not Recommended unpleasant disappointing disappointing unpleasant unpleasant unpleasant.
2,Unpleasant disappointing disappointing disappointing disappointing not recommended not recommended unpleasant.
3,Decent neutral not bad average neutral neutral.
4,Satisfactory good good good worthwhile enjoyable.
5,Outstanding excellent outstanding outstanding great perfect perfect.
5,Perfect outstanding amazing great perfect great.
3,Neutral decent okay okay not bad not bad.
1,Horrible unacceptable horrible terrible unacceptable worst regret.
2,Poor disappointing unpleasant disappointing not recommended.
3,Not Bad not bad decent average average.
2,Disappointing disappointing disappointing poor poor not recommended disappointing.
5,Amazing perfect outstanding outstanding excellent.
4,Enjoyable worthwhile enjoyable nice enjoyable satisfactory.
4,Nice enjoyable nice satisfactory.
3,Okay okay neutral okay.
4,Enjoyable enjoyable good good.
3,Average neutral neutral neutral decent not bad okay.
3,Neutral average decent okay average decent.
4,Enjoyable worthwhile nice good satisfactory enjoyable.
5,Great best outstanding outstanding outstanding great perfect.
4,Satisfactory satisfactory worthwhile enjoyable worthwhile.
2,Not Recommended disappointing poor disappointing poor poor unpleasant.
3,Okay decent okay average not bad okay.
2,Poor poor unpleasant.
1,Regret worst awful unacceptable unacceptable unacceptable regret worst.
2,Disappointing not recommended unpleasant disappointing not recommended disappointing disappointing.
1,Regret regret regret terrible.
5,Great excellent amazing great great.
2,Unpleasant disappointing poor unpleasant not recommended unpleasant unpleasant.
5,Great great outstanding.
2,Disappointing unpleasant not recommended.
5,Great outstanding amazing perfect perfect perfect perfect.
3,Okay decent not bad decent.
3,Okay neutral not bad neutral okay not bad.
1,Awful worst regret regret unacceptable terrible.
4,Worthwhile good satisfactory satisfactory nice.
1,Unacceptable regret unacceptable horrible.
4,Nice satisfactory good worthwhile.
3,Neutral okay average not bad not bad not bad.
1,Awful unacceptable horrible unacceptable regret worst worst.
5,Best amazing excellent perfect perfect.
3,Neutral neutral neutral.
3,Not Bad okay okay decent okay not bad neutral.
2,Unpleasant not recommended poor poor unpleasant disappointing.
4,Enjoyable enjoyable enjoyable enjoyable enjoyable enjoyable good.
3,Okay okay decent not bad.
1,Regret unacceptable regret unacceptable horrible awful.
4,Satisfactory worthwhile enjoyable good satisfactory worthwhile enjoyable.
5,Excellent outstanding outstanding excellent great great.
1,Regret terrible awful.
1,Horrible horrible unacceptable unacceptable.
3,Neutral average okay neutral neutral neutral not bad.
5,Best excellent great outstanding amazing excellent perfect.
4,Satisfactory nice worthwhile good satisfactory good.
3,Decent average not bad okay.
4,Satisfactory good enjoyable worthwhile satisfactory worthwhile nice.
2,Not Recommended poor unpleasant poor poor.
5,Best best perfect great.
3,Neutral not bad average okay neutral okay average.
4,Good worthwhile satisfactory enjoyable.
3,Not Bad average decent neutral okay average average decent.
2,Not Recommended not recommended not recommended not recommended.
3,Decent decent okay okay not bad okay.
4,Nice worthwhile nice.
3,Neutral average average average.
3,Decent not bad average not bad.
1,Regret terrible horrible unacceptable horrible.
5,Excellent amazing outstanding outstanding amazing perfect perfect.
4,Worthwhile nice satisfactory enjoyable good good nice.
1,Horrible unacceptable horrible awful regret.
5,Perfect amazing excellent great great amazing excellent outstanding.
5,Excellent great best amazing outstanding excellent amazing.
5,Best excellent best excellent.
1,Worst awful terrible regret awful terrible.
4,Nice nice worthwhile nice good worthwhile.
5,Best amazing excellent best excellent perfect outstanding.
1,Unacceptable horrible worst terrible.
4,Enjoyable enjoyable worthwhile enjoyable satisfactory nice good.
4,Good good nice enjoyable worthwhile nice.
2,Not Recommended unpleasant poor unpleasant.
4,Nice satisfactory enjoyable.
1,Worst horrible horrible unacceptable awful.
2,Not Recommended not recommended not recommended unpleasant poor unpleasant not recommended.
1,Horrible terrible regret unacceptable unacceptable regret.
2,Not Recommended not recommended disappointing poor poor not recommended disappointing disappointing.
2,Poor poor disappointing poor poor disappointing disappointing not recommended.
5,Outstanding best great outstanding amazing.
2,Poor poor not recommended poor.
4,Satisfactory enjoyable satisfactory good nice enjoyable nice worthwhile.
3,Average neutral neutral neutral.
5,Excellent great perfect great.
2,Unpleasant unpleasant disappointing unpleasant not recommended.
3,Decent neutral average okay neutral.
4,Enjoyable enjoyable satisfactory good worthwhile.
3,Not Bad okay decent decent not bad okay okay decent.
1,Terrible regret awful awful awful terrible regret.
3,Average decent average decent.
2,Not Recommended disappointing disappointing disappointing poor poor.
3,Neutral neutral decent decent average okay average decent.
5,Great perfect outstanding perfect.
4,Enjoyable enjoyable nice good nice.
4,Good nice good nice.
5,Amazing great best great great amazing perfect.
5,Best excellent great best outstanding amazing.
5,Outstanding great great excellent.
4,Satisfactory enjoyable enjoyable satisfactory.
4,Worthwhile good worthwhile nice satisfactory.
5,Perfect great best.
4,Nice good worthwhile good.
1,Unacceptable worst unacceptable regret regret.
4,Good nice enjoyable nice.
4,Satisfactory nice nice enjoyable nice enjoyable satisfactory satisfactory.
2,Unpleasant disappointing not recommended unpleasant unpleasant not recommended poor poor.
1,Awful terrible regret unacceptable worst.
4,Nice satisfactory satisfactory nice.
4,Good nice worthwhile enjoyable satisfactory.
5,Amazing outstanding great outstanding.
1,Awful unacceptable worst unacceptable.
5,Great best great outstanding great outstanding great excellent.
3,Average okay okay neutral not bad decent not bad okay.
3,Neutral decent not bad not bad.
5,Excellent excellent best perfect amazing amazing excellent perfect.
3,Decent okay okay average not bad okay.
5,Amazing outstanding perfect perfect great.
4,Enjoyable nice enjoyable good worthwhile nice satisfactory.
2,Disappointing poor poor.
2,Not Recommended unpleasant disappointing unpleasant unpleasant unpleasant.
5,Perfect excellent amazing great.
5,Perfect excellent amazing great perfect outstanding.
2,Poor disappointing not recommended disappointing not recommended poor disappointing.
2,Poor poor unpleasant not recommended not recommended.
3,Okay okay decent neutral average.
2,Disappointing unpleasant unpleasant unpleasant not recommended not recommended.
1,Worst horrible regret awful.
5,Excellent outstanding excellent excellent.
1,Awful terrible worst terrible unacceptable worst.
2,Poor poor unpleasant unpleasant unpleasant not recommended.
2,Disappointing unpleasant disappointing unpleasant poor disappointing poor.
3,Not Bad decent okay.
3,Okay average average average neutral okay okay.
3,Okay okay average not bad average.
4,Good good enjoyable satisfactory.
5,Perfect best great.
2,Disappointing unpleasant not recommended poor unpleasant poor.
1,Horrible awful terrible horrible terrible regret regret.
3,Average average okay decent not bad okay.
4,Nice satisfactory satisfactory good nice nice enjoyable.
1,Horrible worst regret terrible.
3,Decent average neutral okay neutral okay not bad.
5,Amazing perfect outstanding.
4,Satisfactory good satisfactory satisfactory satisfactory good.
2,Unpleasant disappointing disappointing not recommended not recommended.
4,Enjoyable enjoyable good nice.
5,Excellent perfect perfect excellent amazing perfect.
5,Amazing best excellent great perfect best.
5,Outstanding great great great amazing best perfect.
5,Outstanding perfect outstanding best great amazing.
1,Awful horrible awful terrible.
2,Disappointing poor not recommended poor poor disappointing not recommended.
4,Satisfactory good worthwhile nice good worthwhile.
4,Good nice good.
2,Disappointing poor disappointing not recommended.
3,Average average not bad neutral okay.
2,Poor unpleasant unpleasant not recommended disappointing.
3,Not Bad neutral okay average.
2,Unpleasant poor unpleasant disappointing unpleasant not recommended poor.
2,Unpleasant poor disappointing not recommended not recommended disappointing.
2,Disappointing unpleasant unpleasant not recommended not recommended.
1,Terrible terrible horrible horrible regret awful unacceptable.
2,Not Recommended unpleasant not recommended not recommended disappointing.
1,Regret regret worst terrible.
3,Average not bad average not bad okay okay not bad.
5,Excellent great best excellent great amazing perfect.
1,Unacceptable unacceptable regret regret regret horrible awful unacceptable.
2,Poor disappointing unpleasant unpleasant poor poor.
1,Horrible horrible worst terrible regret.
5,Amazing perfect best great perfect excellent perfect.
1,Terrible regret terrible horrible worst awful worst.
3,Average neutral decent.
1,Regret worst terrible awful unacceptable regret worst.
2,Unpleasant disappointing unpleasant unpleasant not recommended disappointing poor disappointing.
1,Worst regret awful unacceptable awful worst terrible worst.
4,Good worthwhile satisfactory enjoyable good.
2,Not Recommended not recommended poor poor poor unpleasant unpleasant.
4,Good enjoyable good good good enjoyable nice.
5,Great great excellent excellent.
4,Good enjoyable worthwhile worthwhile nice satisfactory enjoyable.
5,Great amazing great excellent excellent.
2,Poor not recommended unpleasant poor not recommended unpleasant.
5,Outstanding great great amazing excellent excellent.
1,Worst worst regret worst.
4,Enjoyable satisfactory good nice good worthwhile.
2,Disappointing unpleasant unpleasant unpleasant unpleasant poor not recommended.
4,Nice enjoyable good nice satisfactory satisfactory.
3,Decent average not bad not bad neutral okay.
1,Horrible worst unacceptable horrible horrible unacceptable terrible.
2,Disappointing poor not recommended not recommended not recommended not recommended not recommended.
4,Enjoyable enjoyable worthwhile enjoyable worthwhile worthwhile.
1,Unacceptable worst worst awful.
3,Neutral neutral okay okay decent average average.
4,Worthwhile enjoyable satisfactory enjoyable worthwhile nice worthwhile nice.
4,Nice satisfactory satisfactory enjoyable.
4,Satisfactory good good enjoyable enjoyable worthwhile.
5,Great excellent perfect amazing outstanding perfect amazing.
1,Awful regret horrible awful awful.
3,Neutral neutral neutral neutral.
5,Best excellent outstanding.
2,Not Recommended disappointing poor.
2,Disappointing not recommended disappointing unpleasant poor unpleasant poor.
4,Satisfactory worthwhile worthwhile satisfactory.
5,Excellent outstanding excellent best perfect perfect outstanding.
2,Disappointing poor unpleasant poor.
3,Not Bad average not bad decent not bad not bad okay.
5,Perfect great excellent excellent excellent great.
4,Nice nice enjoyable worthwhile nice good enjoyable nice.
4,Nice satisfactory enjoyable enjoyable nice satisfactory good.
5,Outstanding great excellent outstanding excellent.
1,Worst worst terrible worst unacceptable terrible awful.
4,Satisfactory nice nice satisfactory.
4,Satisfactory enjoyable nice satisfactory.
1,Regret worst worst terrible awful terrible horrible.
5,Perfect great great amazing great amazing great.
4,Good good good good enjoyable enjoyable good.
2,Not Recommended disappointing not recommended not recommended.
1,Terrible awful horrible worst regret regret.
5,Excellent best best amazing.
3,Average average okay decent.
2,Unpleasant unpleasant disappointing not recommended unpleasant.
1,Awful regret awful regret.
4,Enjoyable nice good enjoyable nice worthwhile enjoyable worthwhile.
1,Unacceptable terrible terrible worst.
5,Best outstanding great best outstanding best.
4,Satisfactory worthwhile enjoyable enjoyable worthwhile worthwhile satisfactory.
3,Not Bad neutral not bad decent okay decent decent.
3,Decent average okay.
2,Not Recommended unpleasant disappointing not recommended.
3,Neutral okay decent not bad decent average okay neutral.
2,Not Recommended poor unpleasant poor not recommended disappointing poor unpleasant.
4,Satisfactory good satisfactory good worthwhile enjoyable enjoyable satisfactory.
4,Worthwhile good enjoyable satisfactory enjoyable enjoyable.
1,Regret awful unacceptable regret awful awful awful horrible.
1,Terrible worst awful awful.
1,Worst awful worst regret worst worst horrible.
1,Worst awful regret regret worst regret worst.
5,Perfect excellent great.
4,Nice good satisfactory satisfactory satisfactory.
1,Unacceptable horrible awful regret regret unacceptable horrible.
4,Nice worthwhile satisfactory.
3,Decent decent okay average average decent decent.
2,Poor disappointing poor not recommended unpleasant.
5,Outstanding amazing excellent great excellent outstanding great.
2,Poor unpleasant unpleasant disappointing unpleasant.
5,Excellent amazing best best great.
1,Worst horrible unacceptable awful unacceptable unacceptable awful terrible.
2,Not Recommended disappointing not recommended disappointing.
2,Unpleasant not recommended poor disappointing disappointing disappointing not recommended.
4,Enjoyable nice nice satisfactory.
1,Awful regret terrible awful worst unacceptable horrible.
4,Good good good good satisfactory.
3,Not Bad decent decent neutral neutral average.
5,Best great best excellent great amazing perfect.
4,Worthwhile satisfactory nice enjoyable good satisfactory.
2,Disappointing not recommended unpleasant unpleasant.
1,Worst terrible terrible horrible horrible worst.
3,Okay decent not bad average average.
5,Perfect great great outstanding outstanding best.
4,Good satisfactory good good.
1,Unacceptable unacceptable terrible terrible horrible horrible unacceptable unacceptable.
2,Unpleasant disappointing not recommended poor.
1,Awful worst regret worst horrible.
1,Awful awful awful regret awful terrible terrible.
2,Not Recommended unpleasant unpleasant disappointing disappointing poor not recommended.
2,Unpleasant not recommended not recommended unpleasant disappointing disappointing unpleasant.
2,Poor poor disappointing not recommended poor disappointing.
1,Awful terrible worst horrible.
5,Amazing excellent best great amazing.
4,Nice nice satisfactory.
5,Amazing perfect excellent excellent perfect excellent.
1,Terrible worst unacceptable worst horrible.
1,Terrible terrible unacceptable unacceptable worst terrible regret.
5,Best great outstanding best excellent amazing great.
4,Satisfactory satisfactory worthwhile satisfactory enjoyable good worthwhile enjoyable.
5,Amazing great outstanding great excellent best amazing.
5,Amazing outstanding excellent amazing perfect outstanding best.
5,Perfect great amazing great outstanding.
3,Decent average average decent neutral neutral neutral.
5,Excellent perfect great perfect excellent perfect.
4,Good nice enjoyable nice satisfactory.
3,Okay okay okay neutral.
5,Best outstanding outstanding great outstanding perfect.
1,Awful worst terrible unacceptable.
3,Okay average neutral not bad neutral.
2,Disappointing not recommended unpleasant not recommended disappointing poor not recommended poor.
5,Excellent great great amazing excellent amazing outstanding.
4,Satisfactory enjoyable nice good good worthwhile enjoyable satisfactory.
4,Good enjoyable enjoyable satisfactory satisfactory.
5,Perfect amazing amazing best outstanding perfect outstanding outstanding.
2,Poor poor disappointing poor.
2,Poor unpleasant not recommended not recommended.
2,Disappointing not recommended poor unpleasant poor unpleasant unpleasant disappointing.
4,Good worthwhile satisfactory worthwhile.
4,Enjoyable worthwhile good enjoyable enjoyable worthwhile nice.
2,Unpleasant unpleasant unpleasant disappointing disappointing not recommended disappointing disappointing.
2,Poor poor poor poor not recommended unpleasant not recommended.
1,Worst unacceptable horrible unacceptable.
3,Decent decent okay decent average neutral.
5,Perfect excellent perfect excellent outstanding excellent outstanding.
3,Okay okay average not bad not bad average decent decent.
4,Worthwhile good good nice enjoyable.
5,Perfect perfect perfect outstanding great outstanding excellent.
2,Poor disappointing disappointing disappointing unpleasant poor.
1,Unacceptable horrible horrible terrible worst horrible.
5,Great best best best.
4,Good good enjoyable.
3,Average okay neutral average okay.
1,Worst awful worst unacceptable worst unacceptable.
3,Not Bad okay okay neutral not bad neutral average decent.
3,Average not bad decent neutral.
2,Disappointing poor disappointing disappointing poor not recommended.
1,Unacceptable unacceptable regret horrible unacceptable.
4,Nice good satisfactory nice satisfactory satisfactory good.
2,Disappointing poor disappointing poor poor.
3,Decent not bad okay not bad.
2,Not Recommended unpleasant unpleasant poor unpleasant not recommended unpleasant not recommended.
2,Poor unpleasant disappointing poor.
5,Great perfect great excellent best best.
3,Average okay average neutral decent.
1,Worst regret awful awful.
2,Disappointing not recommended disappointing poor poor unpleasant unpleasant poor.
1,Worst horrible regret.
1,Regret awful unacceptable worst regret horrible awful.
5,Perfect outstanding outstanding excellent perfect excellent.
5,Great perfect best best outstanding great.
4,Good satisfactory good enjoyable.
1,Awful terrible awful worst horrible.
4,Worthwhile nice worthwhile nice nice satisfactory.
1,Awful horrible horrible worst terrible unacceptable worst regret.
5,Great outstanding amazing great great best great.
5,Excellent great outstanding best perfect perfect great amazing.
3,Not Bad not bad average okay decent.
2,Disappointing not recommended poor unpleasant.
2,Disappointing unpleasant poor disappointing poor unpleasant poor disappointing.
1,Regret terrible terrible horrible.
3,Average not bad decent neutral average okay.
5,Great outstanding excellent best great best best.
3,Not Bad okay okay okay not bad.
5,Outstanding perfect best perfect.
2,Disappointing not recommended disappointing.
1,Unacceptable unacceptable awful unacceptable horrible regret terrible worst.
4,Enjoyable enjoyable satisfactory nice.
3,Not Bad decent average decent decent.
3,Neutral not bad decent neutral.
4,Worthwhile good worthwhile enjoyable.
3,Not Bad not bad neutral neutral.
2,Not Recommended poor disappointing.
5,Outstanding perfect outstanding best amazing.
4,Good good good worthwhile.
1,Regret regret horrible horrible.
2,Unpleasant disappointing unpleasant disappointing unpleasant unpleasant.
4,Good worthwhile satisfactory satisfactory.
4,Nice nice enjoyable nice good.
1,Regret terrible worst horrible worst.
1,Terrible horrible terrible horrible unacceptable worst terrible unacceptable.
1,Terrible unacceptable awful awful.
4,Satisfactory satisfactory nice good satisfactory.
3,Decent average average not bad not bad okay not bad.
4,Enjoyable nice satisfactory satisfactory satisfactory worthwhile satisfactory.
1,Terrible worst regret awful.
1,Worst awful terrible worst horrible worst unacceptable.
1,Unacceptable horrible awful.
4,Enjoyable nice good worthwhile satisfactory.
3,Okay decent neutral okay.
4,Enjoyable worthwhile enjoyable enjoyable enjoyable good.
3,Neutral decent okay average average average average.
4,Satisfactory enjoyable nice enjoyable worthwhile.
2,Disappointing disappointing disappointing unpleasant.
2,Poor not recommended disappointing not recommended.
5,Excellent best best perfect great great outstanding best.
5,Best amazing great best.
2,Poor disappointing unpleasant disappointing.
5,Amazing outstanding amazing perfect amazing excellent.
2,Unpleasant poor not recommended unpleasant unpleasant poor unpleasant.
2,Disappointing unpleasant unpleasant disappointing not recommended.
3,Not Bad okay average decent decent decent.
5,Best excellent amazing perfect outstanding outstanding perfect amazing.
1,Unacceptable horrible horrible terrible awful horrible.
1,Regret unacceptable regret horrible terrible unacceptable.
4,Enjoyable good satisfactory enjoyable enjoyable worthwhile.
3,Not Bad okay decent neutral okay.
5,Outstanding perfect great best perfect best.
5,Best excellent best.
5,Excellent best amazing best excellent.
